Time,NQ,CQ,SWQ,SEQ,NNSW,Hunter,Central,SYD,STHRN,CAN,SWNSW,NVIC,CVIC,LV,MEL,WVIC,SESA,ADE,NSA,FNSA,TAS
1/1/13 0:00,1023.6,1831.7,377.1,2154.9,294.4,2281.3,515.1,2870.1,515.1,368,515.1,298.1,347.8,298.1,3074.4,949.7,147,963.9,196,326.7,844.5
1/1/13 1:00,979.4,1752.6,360.8,2061.8,277.1,2147.7,485,2702,485,346.4,485,266.9,311.3,266.9,2658.2,944.5,130.2,853.7,173.6,289.4,856.8
1/1/13 2:00,927.6,1659.8,341.7,1952.8,250.1,1938.6,437.8,2438.9,437.8,312.7,437.8,259.8,303.1,259.8,2563.9,943.3,113.2,742.3,151,251.6,841.2
1/1/13 3:00,894.9,1601.4,329.7,1884,233.6,1810.1,408.7,2277.2,408.7,291.9,408.7,241.4,281.6,241.4,2318.3,940.2,108.7,712.3,144.9,241.5,845.5
1/1/13 4:00,875.1,1565.9,322.4,1842.2,226.8,1757.6,396.9,2211.1,396.9,283.5,396.9,233.6,272.5,233.6,2214,938.9,105.8,693.4,141,235.1,839.1
1/1/13 5:00,875.6,1566.9,322.6,1843.4,224.9,1742.8,393.5,2192.6,393.5,281.1,393.5,233.1,271.9,233.1,2207.6,938.8,103.8,680.6,138.4,230.7,837.8
1/1/13 6:00,863.2,1544.6,318,1817.2,227.9,1766.3,398.8,2222.1,398.8,284.9,398.8,232.6,271.3,232.6,2201.1,938.8,102.3,670.9,136.5,227.4,849.4
1/1/13 7:00,905.6,1620.6,333.7,1906.6,238.8,1850.9,417.9,2328.5,417.9,298.5,417.9,240.6,280.7,240.6,2308.3,940.1,103,675.3,137.3,228.9,892.2
1/1/13 8:00,958.7,1715.7,353.2,2018.4,257.9,1998.4,451.3,2514.1,451.3,322.3,451.3,246.2,287.2,246.2,2382.6,941,103,675.3,137.4,228.9,933.3
1/1/13 9:00,1010.5,1808.2,372.3,2127.3,277.4,2150,485.5,2704.9,485.5,346.8,485.5,254.7,297.1,254.7,2495.9,942.4,104.1,682.4,138.8,231.3,933.7
1/1/13 10:00,1043.1,1866.6,384.3,2196,296.8,2300.2,519.4,2893.7,519.4,371,519.4,264.7,308.8,264.7,2629,944.1,106.5,698.2,142,236.7,948.2
1/1/13 11:00,1058.2,1893.5,389.8,2227.7,313.5,2429.3,548.6,3056.2,548.6,391.8,548.6,271.1,316.3,271.1,2714.4,945.2,108.3,710,144.4,240.7,925.6
1/1/13 12:00,1084.9,1941.5,399.7,2284.1,327.7,2539.5,573.4,3194.9,573.4,409.6,573.4,275.1,321,275.1,2768.6,945.9,113.8,746.2,151.8,253,917
1/1/13 13:00,1104,1975.6,406.7,2324.2,332.7,2578.7,582.3,3244.2,582.3,415.9,582.3,276.4,322.4,276.4,2785,946.1,117.9,773.1,157.2,262.1,918.4
1/1/13 14:00,1130.7,2023.4,416.6,2380.5,336.7,2609.1,589.2,3282.5,589.2,420.8,589.2,277,323.2,277,2794,946.2,121.9,799,162.5,270.8,910.8
1/1/13 15:00,1142.1,2043.8,420.8,2404.5,344.1,2667.1,602.2,3355.3,602.2,430.2,602.2,283.3,330.5,283.3,2877.2,947.2,126.4,828.5,168.5,280.8,906.4
1/1/13 16:00,1158,2072.3,426.6,2437.9,349.2,2706.2,611.1,3404.6,611.1,436.5,611.1,291.3,339.9,291.3,2984.2,948.6,133.4,874.4,177.8,296.4,922.3
1/1/13 17:00,1169.1,2092.1,430.7,2461.3,353.6,2740.7,618.9,3447.9,618.9,442,618.9,298.9,348.7,298.9,3085.7,949.8,144.3,946,192.4,320.7,962.8
1/1/13 18:00,1204.6,2155.7,443.8,2536.1,347.3,2691.6,607.8,3386.3,607.8,434.1,607.8,296.7,346.2,296.7,3056.1,949.5,150.8,988.9,201.1,335.2,949.6
1/1/13 19:00,1175.8,2104.1,433.2,2475.4,329.9,2556.9,577.4,3216.7,577.4,412.4,577.4,286.3,334.1,286.3,2917.8,947.7,150.9,989.4,201.2,335.4,968.9
1/1/13 20:00,1187.2,2124.5,437.4,2499.4,328.7,2547.7,575.3,3205.1,575.3,410.9,575.3,282.8,329.9,282.8,2870.8,947.1,142.9,936.5,190.5,317.4,985.6
1/1/13 21:00,1159.1,2074.2,427,2440.2,314.6,2438.5,550.6,3067.8,550.6,393.3,550.6,283.1,330.3,283.1,2875.2,947.2,138.5,908.2,184.7,307.9,985.1
1/1/13 22:00,1136.9,2034.4,418.9,2393.5,303.9,2355.3,531.8,2963.1,531.8,379.9,531.8,266.5,310.9,266.5,2653.2,944.4,127.8,837.7,170.4,284,935.6
1/1/13 23:00,1077.9,1928.8,397.1,2269.2,291,2255,509.2,2836.9,509.2,363.7,509.2,262.8,306.6,262.8,2604.5,943.8,122.2,801.2,162.9,271.6,891.5
2/1/13 0:00,1013.5,1813.5,373.4,2133.6,275.9,2138.2,482.8,2690.1,482.8,344.9,482.8,276.7,322.8,276.7,2788.9,946.1,142.1,931.7,189.5,315.8,873.1
2/1/13 1:00,955.1,1709.1,351.9,2010.7,258.5,2003.1,452.3,2520.1,452.3,323.1,452.3,246.1,287.1,246.1,2381,941,122.9,805.6,163.9,273.1,882.5
2/1/13 2:00,907.2,1623.4,334.2,1909.9,239,1852.4,418.3,2330.4,418.3,298.8,418.3,250.4,292.1,250.4,2438.4,941.7,109.7,719.4,146.3,243.9,864.2
2/1/13 3:00,877.1,1569.6,323.2,1846.6,229.5,1778.6,401.6,2237.6,401.6,286.9,401.6,238.8,278.6,238.8,2284.4,939.8,108.8,713,145,241.7,875.8
2/1/13 4:00,887.2,1587.6,326.8,1867.7,230.2,1783.8,402.8,2244.2,402.8,287.7,402.8,238,277.7,238,2273.6,939.7,106.5,697.9,142,236.6,878.2
2/1/13 5:00,904.3,1618.2,333.2,1903.8,238.7,1850,417.7,2327.4,417.7,298.4,417.7,248.7,290.2,248.7,2416.1,941.5,106.7,699.5,142.3,237.1,905.4
2/1/13 6:00,937,1676.7,345.2,1972.6,262,2030.7,458.5,2554.7,458.5,327.5,458.5,269.1,314,269.1,2688.3,944.9,108.5,711.3,144.7,241.1,980.3
2/1/13 7:00,1018.3,1822.2,375.2,2143.7,288.9,2239,505.6,2816.8,505.6,361.1,505.6,293.7,342.7,293.7,3016,949,120.1,787.5,160.2,267,1058.3
2/1/13 8:00,1130.3,2022.6,416.4,2379.5,314.7,2439.1,550.8,3068.6,550.8,393.4,550.8,303.1,353.6,303.1,3141.1,950.5,126.8,831.4,169.1,281.8,1106.6
2/1/13 9:00,1210.9,2166.9,446.1,2549.3,331.5,2568.8,580.1,3231.7,580.1,414.3,580.1,312.3,364.4,312.3,3264.5,952.1,129.4,848.1,172.5,287.5,1091.7
2/1/13 10:00,1231.6,2204,453.8,2592.9,337.8,2617.6,591.1,3293.1,591.1,422.2,591.1,318.8,371.9,318.8,3350,953.1,130.8,857.5,174.4,290.7,1076.8
2/1/13 11:00,1249.6,2236.1,460.4,2630.7,341.1,2643.5,596.9,3325.7,596.9,426.4,596.9,320.5,373.9,320.5,3373.2,953.4,131.9,864.6,175.9,293.1,1060.7
2/1/13 12:00,1301.4,2328.9,479.5,2739.9,342.6,2655,599.5,3340.2,599.5,428.2,599.5,321.3,374.9,321.3,3384.1,953.6,139.2,912.6,185.6,309.3,1036.7
2/1/13 13:00,1342.3,2402,494.5,2825.8,343.4,2661.7,601,3348.6,601,429.3,601,322.1,375.8,322.1,3395.3,953.7,146.7,961.8,195.6,326,986
